ISIN	Sector	Ticker
US00206R1023	Communication	T
US4581401001	Information Technology	INTC
US4592001014	Information Technology	IBM
US7170811035	Health Care	PFE
US0605051046	Financials	BAC
US5951121038	Information Technology	MU
US1667641005	Energy	CVX
US37045V1008	Consumer Discretionary	GM
US1729674242	Financials	C
US9314271084	Consumer Staples	WBA
US0028241000	Health Care	ABT
IE00BTN1Y115	Health Care	MDT
US8835561023	Health Care	TMO
US2358511028	Health Care	DHR
US0758871091	Health Care	BDX
US46120E6023	Health Care	ISRG
US8636671013	Health Care	SYK
US1011371077	Health Care	BSX
US28176E1082	Health Care	EW
US0718131099	Health Care	BAX
US98956P1021	Health Care	ZBH
US45168D1046	Health Care	IDXX
US4781601046	Health Care	JNJ
CH0012005267	Health Care	NOVN
US91324P1021	Health Care	UNH
US58933Y1055	Health Care	MRK
CH0012032048	Health Care	ROG
US0311621009	Health Care	AMGN
US00287Y1091	Health Care	ABBV
GB0009895292	Health Care	AZN
CH0038863350	Consumer Staples	NESN
US7427181091	Consumer Staples	PG
US1912161007	Consumer Staples	KO
US9311421039	Consumer Staples	WMT
US7134481081	Consumer Staples	PEP
US7181721090	Consumer Staples	PM
US22160K1051	Consumer Staples	COST
NL0000388619	Consumer Staples	UNA
GB0002374006	Consumer Staples	DGE
BE0974293251	Consumer Staples	ABI
US02209S1033	Consumer Staples	MO
GB0002875804	Consumer Staples	BATS
US6092071058	Consumer Staples	MDLZ
GB00B10RZP78	Consumer Staples	ULVR
FR0000120321	Consumer Staples	OR
US83417M1045	Information Technology	SEDG
NZCENE0001S6	Utilities	CEN
NZMELE0002S7	Utilities	MEL
US6866881021	Utilities	ORA
US3364331070	Information Technology	FSLR
AT0000746409	Utilities	VER
DK0010268606	Industrials	VWS
ES0143416115	Industrials	SGRE
US2044096012	Utilities	CIG
HK0257001336	Industrials	257
US70338P1003	Utilities	PEGI
US22282E1029	Industrials	CVA
CNE100000HD4	Utilities	916
US86771W1053	Industrials	RUN
US29355A1079	Information Technology	ENPH
CNE100000WS1	Utilities	958
GB00BLP5YB54	Utilities	AY
KYG9829N1025	Information Technology	968
US20441B4077	Utilities	ELP
CA45790B1040	Utilities	INE
US88104R2094	Utilities	TERP
CA09950M3003	Utilities	BLX
DE000A0D6554	Industrials	NDX1
CA1366351098	Information Technology	CSIQ
SE0000108656	Information Technology	ERIC B
SE0000115446	Industrials	VOLV B
SE0007100581	Industrials	ASSA B
FI4000297767	Financials	NDA SE
SE0000107419	Financials	INVE B
SE0011166610	Industrials	ATCO A
SE0000667891	Industrials	SAND
SE0009922164	Consumer Staples	ESSITY B
SE0000103699	Information Technology	HEXA B
SE0000106270	Consumer Discretionary	HM B
SE0000148884	Financials	SEB A
SE0007100599	Financials	SHB A
SE0000667925	Communication	TELIA
SE0000242455	Financials	SWED A
SE0011166628	Industrials	ATCO B
SE0000310336	Consumer Staples	SWMA
US0846707026	Financials	BRKB
US46625H1005	Financials	JPM
US9497461015	Financials	WFC
US0258161092	Financials	AXP
US9029733048	Financials	USB
US12572Q1058	Financials	CME
US38141G1040	Financials	GS
CH0044328745	Financials	CB
US58733R1023	Consumer Discretionary	MELI
LU0156801721	Energy	TEN
LU0974299876	Information Technology	GLOB
US05961W1053	Financials	BMA
US3999091008	Financials	GGAL
US9842451000	Energy	YPF
US8792732096	Communication	TEO
US6976602077	Utilities	PAM
US8938702045	Energy	TGS
US07329M1009	Financials	BBAR
US1550382014	Utilities	CEPU
VGG0457F1071	Consumer Discretionary	ARCO
US54150E1047	Materials	LOMA
CA7847301032	Materials	SSRM
LU0584671464	Consumer Staples	AGRO
US40054A1088	Financials	SUPV
CA6979001089	Materials	PAAS
CL0000000100	Consumer Staples	CENCOSUD
VGG273581030	Consumer Discretionary	DESP
AU000000CSR5	Materials	CSR
AU000000HVN7	Consumer Discretionary	HVN
BMG6901M1010	Consumer Discretionary	709
AU000000NAB4	Financials	NAB
AU000000BEN6	Financials	BEN
AU000000SUL0	Consumer Discretionary	SUL
AU000000JBH7	Consumer Discretionary	JBH
AU000000WBC1	Financials	WBC
AU000000PPT9	Financials	PPT
NZTELE0001S4	Communication	SPK
SG1T75931496	Communication	Z74
BMG9400S1329	Information Technology	303
HK0008011667	Communication	8
AU000000CBA7	Financials	CBA
NZSKCE0001S2	Consumer Discretionary	SKC
AU000000MMS5	Industrials	MMS
AU000000AST5	Utilities	AST
AU000000SYD9	Industrials	SYD
AU000000BLD2	Materials	BLD
AU000000ANZ3	Financials	ANZ
AU000000WPL2	Energy	WPL
HK0006000050	Utilities	6
SG1V12936232	Communication	CC3
BMG4232X1020	Financials	665
JP3814800003	Consumer Discretionary	7270
JP3672400003	Consumer Discretionary	7201
SG1L01001701	Financials	D05
HK0000179108	Utilities	2638
JP3897700005	Materials	4188
JP3386030005	Materials	5411
IT0003128367	Utilities	ENEL
IT0003132476	Energy	ENI
IT0000072618	Financials	ISP
